Finnish;English;Hungarian
KUVAILU;Description;Leírás
SELITTÄMINEN;Explanation;Magyarázat
Mä en nyt muista, mikä se sana on...;I don't remember what the word is now...;Most nem emlékszem, mi az a szó...
Se ei ole kuuma eikä kylmä, mutta siltä väliltä.;It's neither hot nor cold, but somewhere in between.;Nem meleg és nem hideg, hanem valahol a kettő között.
se on sellainen / semmonen;it's like that;olyan
se on vähän niin kuin / niinku;it's a bit like;egy kicsit olyan, mint
se on aika samanlainen kuin;it's quite similar to;elég hasonló, mint
se ei ole ihan sama, mutta;it's not exactly the same, but;nem pontosan ugyanaz, de
se tarkoittaa siis (+ partitiivi);it means (+ partitive);ez azt jelenti, hogy (+ tárgyeset)
se tarkoittaa siis sitä, että / kun...;it means that...;azt jelenti, hogy...
sen avulla / sillä voi (+ verbi);with it / you can (+ verb);azzal / ezzel lehet (+ ige)
sitä voi käyttää, kun...;you can use it when...;használható, amikor...
sitä käytetään, kun...;it's used when...;akkor használják, amikor...
Se on huonekalu ja siinä nukutaan.;It's a piece of furniture, and you sleep on it.;Ez egy bútor, amin aludni lehet.
Esimerkiksi pöytä, tuoli, sänky on sellainen.;For example, a table, a chair, a bed is like that.;Például egy asztal, egy szék, egy ágy ilyen.
Se on väri, ei valkoinen vaan...;It's a color, not white, but...;Ez egy szín, nem fehér, hanem...
Se on iso eläin.;It's a big animal.;Ez egy nagy állat.
Niitä on Afrikassa.;There are some in Africa.;Afrikában élnek.
Sillä on tosi pitkä kaula ja aika pieni pää.;It has a really long neck and quite a small head.;Nagyon hosszú nyaka van, és elég kicsi feje.
yksiö;studio apartment;garzonlakás
kaksio;two-room apartment;kétszobás lakás
soluasunto;shared apartment;közös lakás
suuri;big;nagy
pieni;small;kicsi
valoisa;bright;világos
parveke;balcony;erkély
keittiö;kitchen;konyha
kylpyhuone;bathroom;fürdőszoba
viihtyisä;cozy;kellemes
kodikas;homely;otthonos
uusi;new;új
naapuri;neighbor;szomszéd
kämppis;roommate;lakótárs
kotieläin;pet;háziállat
vanha;old;öreg
kaunis;beautiful;szép
ruma;ugly;csúnya
eteinen;hallway;előszoba
piha;yard;udvar
hissi;elevator;lift
moderni;modern;modern
tyylikäs;stylish;stílusos
kiva;nice;kedves
