French;Finnish;Hungarian
Saluer;Tervehtiä;Köszönés
Bonjour.;Hyvää huomenta / Päivää.;Jó reggelt / Jó napot.
Bonsoir.;Hyvää iltaa.;Jó estét.
Salut !;Moi! / Hei!;Szia!
Bonjour, madame.;Hyvää päivää, rouva.;Jó napot, asszonyom (nainen).
Bonjour, monsieur Lambert.;Hyvää päivää, herra Lambert.;Jó napot, Lambert úr (fiú).
Salut, Inka !;Moi, Inka!;Szia, Inka!
Comment allez-vous ?;Kuinka voitte?;Hogy van ön?
Comment ça va ?;Miten menee?;Hogy vagy?
Ça va ?;Mitä kuuluu?;Minden rendben?
Comment vas-tu ?;Miten sinulla menee? / Kaikki hyvin?;Hogy vagy te? / Minden oké?
Bien, merci.;Hyvin, kiitos.;Jól, köszönöm.
Très bien (merci), et vous ?;Oikein hyvin (kiitos), entä te?;Nagyon jól (köszönöm), és ön?
Et toi ?;Entä sinä?;És te?
Ça va.;Hyvin menee. / Ihan hyvin.;Megvagyok. / Jól van.
Je suis...;Minä olen...;Én vagyok...
Moi, c'est...;Minä olen... (esittelyssä);Én vagyok... (bemutatkozáskor)
Je m'appelle...;Minun nimeni on...;A nevem...
Et vous ?;Entä te?;És ön?
Et vous êtes madame / monsieur / mademoiselle... ?;Ja te olette rouva / herra / neiti...?;És ön asszony / úr / kisasszony...?
Tu t'appelles comment ?;Mikä sinun nimesi on?;Hogy hívnak?
Voici monsieur Lambert.;Tässä on herra Lambert.;Ő itt Lambert úr (fiú).
Je vous présente madame Merilä.;Esittelen teille rouva Merilän.;Bemutatom önnek Merilä asszonyt (nainen).
Je te présente Miro.;Esittelen sinulle Miron.;Bemutatom neked Mirót (fiú).
Enchanté.;Hauska tutustua (mies).;Örülök, hogy megismerhetem (fiú).
Enchantée.;Hauska tutustua (nainen).;Örülök, hogy megismerhetem (lány).
Heureux de faire votre connaissance.;Ilo tutustua teihin.;Örvendek a találkozásnak (fiú).
Au revoir !;Näkemiin!;Viszontlátásra!
À la prochaine !;Seuraavaan kertaan!;Legközelebb találkozunk!
À plus tard ! / À plus !;Nähdään myöhemmin! / Nähdään!;Később találkozunk! / Szia!
À bientôt !;Nähdään pian!;Hamarosan találkozunk!
À ce soir !;Nähdään illalla!;Ma este találkozunk!
À demain !;Nähdään huomenna!;Holnap találkozunk!
À lundi !;Nähdään maanantaina!;Hétfőn találkozunk!
Bonne journée !;Hyvää päivänjatkoa!;Szép napot!
Bonne soirée !;Hyvää illanjatkoa!;Kellemes estét!
Bonne nuit !;Hyvää yötä!;Jó éjszakát!
