French;English;Hungarian
Bonjour (Madame / Monsieur);Good morning (Madam / Sir);Jó reggelt kívánok (Asszonyom / Uram)
Bonsoir (Madame / Monsieur);Good evening (Madam / Sir);Jó estét kívánok (Asszonyom / Uram)
Salut;Hi!;Szia!
Au revoir;Goodbye;Viszontlátásra
À bientôt;See you soon;Hamarosan találkozunk
Salut;Goodbye (informal);Szia (elköszönéskor)
À plus tard;See you later;Később találkozunk
Ciao;Goodbye (informal);Csá / Szia
À tout à l'heure;See you;Hamarosan találkozunk
À demain;See you tomorrow;Holnap találkozunk
À vendredi;See you on Friday;Pénteken találkozunk
Comment allez-vous ?;How are you doing? (formal);Hogy van? (magázó)
Comment ça va ?;How are you?;Hogy vagy?
Tu vas bien ?;Are you ok?;Jól vagy?
Je vais (très) bien.;I'm doing (very) well.;Nagyon jól vagyok.
Ça va.;I'm fine.;Jól vagyok.
Vous vous appelez comment ?;What's your name? (formal);Hogy hívják? (magázó)
Je m'appelle Clara Feliu.;My name is Clara Feliu.;Clara Feliu vagyok.
Moi, c'est Clara.;I'm Clara.;Én Clara vagyok.
Quel âge avez-vous ?;How old are you? (formal);Hány éves? (magázó)
J'ai 38 ans.;I'm 38 years old.;38 éves vagyok.
Quelle est votre nationalité ?;What is your nationality? (formal);Mi az Ön nemzetisége? (magázó)
Je suis suisse.;I'm Swiss.;Svájci vagyok.
Qu'est-ce que vous faites dans la vie ?;What do you do for a living?;Mivel foglalkozik az életben?
Je travaille au Cern.;I'm working at CERN.;A CERN-ben dolgozom.
Je suis ingénieur.;I'm an engineer.;Mérnök vagyok.
Je suis étudiante.;I'm a student.;Diáklány vagyok (lány)
Je suis mécanicien.;I'm a mechanic.;Autószerelő vagyok (fiú)
Quel est votre numéro de téléphone ?;What's your phone number?;Mi a telefonszáma?
C'est le 077 967 54 10.;It's 077 967 54 10.;077 967 54 10
Quel est votre email ?;What's your email?;Mi az e-mail címe?
Vous avez une adresse email ?;Do you have an email?;Van e-mail címe?
C'est abc.def@cern.ch;It's abc.def@cern.ch;abc.def@cern.ch
Vous êtes marié(e) / célibataire / divorcé(e) ?;Are you married / single / divorced?;Házas / egyedülálló / elvált?
Quelle est votre situation de famille ?;What's your marital status?;Mi a családi állapota?
Je suis marié(e) / célibataire / divorcé(e).;I'm married / single / divorced.;Házas / egyedülálló / elvált vagyok.
Êtes-vous marié(e) ?;Are you married? (very formal);Házas? (nagyon hivatalos)
Est-ce que vous êtes marié(e) ?;Are you married? (formal);Házas? (magázó)
Vous êtes marié(e) ?;Are you married? (informal);Házas vagy?
