Finnish;English;Hungarian
kompassi;compass;iránytű
ilmansuunnat;points of the compass;égtájak
pohjoinen;North;észak
etelä;South;dél
itä;East;kelet
länsi;West;nyugat
koillinen;Northeast;északkelet
kaakko;Southeast;délkelet
lounas;Southwest;délnyugat
luode;Northwest;északnyugat
Pohjois-Suomi;the North of Finland;Észak-Finnország
Etelä-Suomi;the South of Finland;Dél-Finnország
Itä-Suomi;the East of Finland;Kelet-Finnország
Länsi-Suomi;the West of Finland;Nyugat-Finnország
pohjoisessa;in the North;északon
etelässä;in the South;délen
idässä;in the East;keleten
lännessä;in the West;nyugaton
pohjoissuomalainen;a Finn from the North of Finland;északi finn
länsimaailma;the Western world;nyugati világ
lännen nopein;the fastest in the West;nyugat leggyorsabbja
Itämeri;the Baltic Sea;Balti-tenger
idän pikajuna;the Orient Express;Orient expressz
Lähi-itä;the Middle East;Közel-Kelet
Aurinko nousee idästä.;The sun rises in the East.;A nap keleten kel fel.
pohjoistuuli;Northern wind;északi szél
pohjoisnapa;North Pole;Északi-sark
pohjoinen pallonpuolisko;the Northern Hemisphere;északi félteke
pohjoismaa;Northern country;északi ország
lännenelokuva;a Western (film);western (film)
villi länsi;the wild West;vadnyugat
länsirintama;the Western Front (World War I);nyugati front
läntinen pallonpuolisko;the Western Hemisphere;nyugati félteke
Linnut lentävät etelään.;The birds fly to the South.;A madarak délre repülnek.
etelänmatka;vacation trip to the South;déli nyaralás
Etelämanner;Antarctica;Antarktisz
Olen kotoisin Pohjois-Espanjasta.;I come from the North of Spain.;Észak-Spanyolországból származom.
Olen kotoisin Etelä-Kiinasta.;I come from the South of China.;Dél-Kínából származom.
Asuin minun kotimaassani Etelä-Englannissa.;I lived in the South of England in my home country.;Hazámban, Dél-Angliában éltem.
Olen syntynyt Itä-Venäjällä.;I was born in the East of Russia.;Kelet-Oroszországban születtem.
Minun kotikaupunki sijaitsee Länsi-Ranskassa.;My home city is situated in the West of France.;A szülővárosom Nyugat-Franciaországban található.
Olen asunut monta vuotta Etelä-Amerikassa.;I've lived in South-America for many years.;Sok éven át Dél-Amerikában éltem.
Somalia sijaitsee Itä-Afrikassa.;Somalia is located in the East of Africa.;Szomália Kelet-Afrikában található.
Minun kotimaani on etelässä.;My home country is in the South.;Hazám délen van.
Etelä-Italiassa kannattaa käydä lomalla.;The South of Italy is a good place to go on vacation.;Dél-Olaszországban érdemes nyaralni.
