Finnish;English;hungarian
lomailija;vacationer;nyaraló
matkustaja;traveler;utas
nautiskelija;person of pleasure;az öröm embere
laiskottelija;someone who takes it easy;naplopó
turisti;tourist;turista
maailmanmatkaaja;globetrotter;világutazó
erävaeltaja;trekker;vándor
retkeilijä;hiker;természetjáró
patikoija;backpacker;hátizsákos utazó
aktiiviloma;active holiday;aktív nyaralás
aurinkoloma;sun holiday;napos vakáció
hiihtoloma;skiing holiday;síüdülés
kaupunkiloma;city holiday;Városszünet
kesäloma;summer holiday;nyári vakáció
kotimaanmatka;domestic travel;Belföldi utazás
kulttuuriloma;cultural holiday;Kultúrális ünnep
kylpyläloma;spa vacation;gyógyüdülés
mökkiloma;summer cottage holiday;nyaraló üdülés
perheloma;family holiday;családi nyaralás
rantaloma;beach holiday;tengerparti nyaralás
risteily;cruise;hajókázás
seikkailuloma;adventure holiday;kalandos nyaralás
talviloma;winter holiday;téli szünet
terveysmatkailu;health tourism;egészségturizmus
ulkomaanmatka;international travel;külföldi utazás
äkkilähtö;last minute travel;hirtelen távozás
arkkitehtuura;architecture;építészet
eläintarha;zoo;állatkert
hiekkaranta;beach;strand
historiallinen kirkko;historic church;történelmi templom
huvipuisto;amusement park;vidámpark
kansallispuisto;national park;Nemzeti Park
katedraali;cathedral;katedrális
keisarillinen palatsi;imperial palace;császári palota
keskiaikaiset rakennukset;medieval buildings;középkori épületek
kylpylä;spa;gyógyfürdő
linna;castle;kastély
luolasto;cave;kazamata
maisema;view;tájkép
muistomerkki;monument;emlékmű
museo;museum;múzeum
nähtävyys;tourist attraction;vonzerő
ostoskatu;shopping street;bevásárlóutca
safari;safari;szafari
teemapuisto;theme park;Vidámpark
temppeli;temple;templom
vanhakaupunki;old town center;Óváros
vesiputous;waterfall;vízesés
bongata lintuja;to spot birds;foltmadarak
golfata;to golf;golfozni
grillata;to grill;kerti sütés
hiihtää;to ski;sí
ihailla arkkitehtuuraa;to admire architecture;megcsodálni az építészetet
katsoa auringonlaskua;to watch the sunset;nézni a naplementét
kiipeillä;to climb;mászik
kirjoittaa postikortteja;to write post cards;levelezőlapokat írni
kuunnella opasta;to listen to the guide;hallgass az útmutatóra
kävellä rannalla;to walk on the beach;séta a tengerparton
käydä kiertoajelulla;to go sightseeing;városnéző körútra menni
käydä museossa;to go to a museum;meglátogat egy múzeumot
käydä ostoksilla;to go shopping;vásárolni
leiriytyä;to camp;kempingezni
lennättää leijaa;to fly a kite;repülni sárkányt
levätä;to rest;pihenés
luistella;to ice skate;korcsolya
meloa;to kayak;lapát
nauttia luonnosta;to enjoy nature;élvezd a természetet
nauttia hiljaisuudesta;to enjoy the silence;élvezd a csendet
ostaa tuliaisia;to buy souvenirs;ajándékokat vásárolni
ottaa aurinkoa;to sunbathe;napozik
pelata rantalentopallo;to play beach volleyball;strandröplabdázni
oppia paikallisten tapoja;to learn the habits of the natives;megtanulják a helyi szokásokat
purjehtia;to sail;vitorla
purjelautailla;to parasail;széllovaglás
pystyttää teltta;to set up a tent;felállítani egy sátrat
pyöräillä;to ride a bike;bicikli
rakentaa hiekkalinnoja;to build sandcastles;homokvárakat építeni
ratsastaa norsulla;to ride an elephant;lovagolni egy elefánton
rentoutua;to relax;lazíts
rullaluistella;to rollerblade;görkorcsolyázni
saunoa;to sauna;szauna fürdőt venni
snorklata;to snorkle;búvárkodni
sukeltaa;to dive;merülés
surffata;to surf;hullámtörés
syödä paikallisia herkkuja;to eat regional delicacies;enni helyi finomságokat
sytyttää nuotio;to start a camp fire;tábortüzet gyújtani
tilata juotavaa;to order something to drink;rendelj egy italt
tutustua paikalliseen kulttuuriin;to learn about the local culture;megismerni a helyi kultúrát
uida;to swim;úszás
vaeltaa;to hike;vándorol
valokuvata;to take pictures;fényképezni
veneillä;to boat;hajó
vuokrata vene;to charter a boat;csónakot bérelni
yöpyä hotellissa;to spend the night in a hotel;maradj egy szállodában
