English;Finnish;Finnish (Where);hungarian
post office;posti;postissa;postai
hotel;hotelli;hotellissa;szálloda
bakery;leipomo;leipomossa;pékség
hospital;sairaala;sairaalassa;kórház
school;koulu;koulussa;iskola
park;puisto;puistossa;park
forest;metsä;metsässä;erdő
restaurant;ravintola;ravintolassa;étterem
bar;baari;baarissa;rúd
cafe;kahvila;kahvilassa;kávézó
museum;museo;museossa;múzeum
bank;pankki;pankissa;bank
shop, store;kauppa;kaupassa;kereskedelmi
pharmacy;apteekki;apteekissa;gyógyszertár
day care;päiväkoti;päiväkodissa;óvoda
church;kirkko;kirkossa;templom
train station;juna-asema;juna-asemalla;vasútállomás
gas station;huoltoasema;huoltoasemalla;benzinkút
airport;lentoasema;lentoasemalla;repülőtér
police station;poliisiasema;poliisiasemalla;rendőrség
fire station;paloasema;paloasemalla;tűzoltóság
bus station;bussiasema;bussiasemalla;buszállomás
yard;piha;pihalla;udvar
market square;tori;torilla;piac
kiosk;kioski;kioskilla;kioszk
road;tie;tiellä;út
street;katu;kadulla;utca
beach;ranta;rannalla;havas eső
tennis court;tenniskenttä;tenniskentällä;teniszpálya
playground;leikkikenttä;leikkikentällä;játszótér
golf court;golfkenttä;golfkentällä;golfpálya
bus stop;bussipysäkki;bussipysäkillä;buszmegálló
