Finnish;english
keskusta;city center
tuomiokirkko;cathedral
lähellä;near
vuokra-asunto;rental apartment, rented flat 
ostaa asunto;buy an apartment, to buy a flat
olla / asua vuokralla;to be/live on rent, to live in a rented flat 
soluasunto;bedsit (one room flat) 
yliopisto;university
ammattikorkeakoulu;university of applied sciences
tykätä, tykkään;to like, I like

moni, monet;many
haaveilla (+ -sta/-stä);to dream
noin;about
asua;to live
omakotitalo;detached house
tai;or
paritalo;semi-detached house
kerrostalo;block of flats
rivitalo;row house
omistusasunto;owner-occupied flat
vuokra;rent
yli;over
kaupunkialue;urban area
keskimäärin;on average
koko;size
neliömetri;square meter
yhdelle (yksi);for one
henkilö;person
tilaa;space
puoliso;spouse
yksin;alone
oli;was
koira;dog
kissa;cat
kesämökki;summer cottage
järvi;lake
järven rannalla;by the lake
vuosi, vuoden;year, of the year
loppu, lopussa;end, at the end
puoli;half
matka;distance
meri;sea
alle;less
